"1-Net Singapore Pte Ltd","9226","","Selective","","1G"
"AARNet","7575","","Selective","","10G"
"Adobe Systems Incorporated","15224","","Selective","","10G"
"Adobe Systems Incorporated (2)","15224","","Selective","","10G"
"Advanced Wireless Network Co. Ltd","45430","","Open","","20G"
"Agora Communications Pte Ltd","56172","","Open","","1G"
"Akamai Technologies","20940","","Open","","20G"
"Alibaba","45102","","Open","","10G"
"Amazon.com","16509","","Selective","","40G"
"Apple Inc","714","","Selective","","100G"
"Apple Inc (2)","714","","Selective","","100G"
"Asiasoft Online Pte Ltd","55855","","Open","","10G"
"BB Connect Co. Ltd","45796","","Open","","10G"
"BGP Consultancy (BGPNET)","64050","","Open","","10G"
"BIGLOBE Inc.","2518","","Selective","","10G"
"Borwood International","29606","","Open","","1G"
"Campana MYTHIC Co Ltd","136168","65018","Open","ipv4v6","10G"
"Cato Networks","13150","","Open","","1G"
"CBN Networks","38158","","Open","ipv4v6","1G"
"CenturyLink - APAC","3908","","Selective","","1G"
"China Telecom (Singapore) Pte Ltd","4809","","Open","","10G"
"CITIC Telecom International CPC (Singapore) Pte Ltd","5017","","Open","","1G"
"Cloudflare","13335","","Open","","20G"
"CommunityDNS","42909","","Open","","1G"
"DigitalOcean","14061","","Open","ipv4v6","40G"
"Dropbox","19679","","Open","","10G"
"eBay","62955","","Open","","10G"
"Epsilon Telecommunication","44356","","Open","","1G"
"Facebook","32934","","Selective","","10G"
"Facebook (2)","32934","","Selective","","10G"
"Fast CDN ","136764","65014","Open","","1G"
"FPT Telecom","18403","","Open","","10G"
"Globe Telecom","4775","","Open","","20G"
"Google","15169","","Selective","","10G"
"HBO Asia","135278","65009","Open","ipv4","10G"
"HBO Asia (2)","135278 ","","Open","ipv4","10G"
"HTC International Telecommunication (HTC-ITC)","24088","","Open","","1G"
"Hurricane Electric","6939","","Open","","20G"
"Internap","29791","","Selective","","10G"
"IPTP Networks","41095","","Selective","","10G"
"Lazada South East Asia","134171","65011","Open","","10G"
"LeaseWeb Network","16265","","Open","","20G"
"LGA Telecom Pte Ltd","10024","","Open","","10G"
"M1 Ltd","4773","","Selective","","20G"
"M1 Net Ltd","17547","","Open","ipv4v6","10G"
"Media Access International Pte. Ltd.","131744","65008","Open","","1G"
"Microsoft","8075","","Selective","","30G"
"MyRepublic Ltd","132132","65005","Open","","10G"
"Nanyang Technological University (NTU)","9419","","Open","ipv4","10G"
"National University of Singapore (NUS)","7610","","Open","","10G"
"NAVER","23576","","Open","","10G"
"Netflix","2906","","Open","","10G"
"Netflix (2) ","2906","","Open","","10G"
"Netpluz Asia Pte Ltd","134078","65006","Open","ipv4v6","1G"
"NeuroTEN Pte Ltd","134663","65012","Open","ipv4v6","1G"
"NewMedia Express Pte Ltd","38001","","Open","ipv4v6","10G"
"Nucleus Connect","45938","","Selective","","1G"
"OpenMirrors","45494","","Open","","1G"
"OVH","16276","","Open","","40G"
"Pacific Internet","4628","","Open","ipv4v6","10G"
"Packet Clearing House","3856","","Open","","1G"
"PLDT","9299","","Open","ipv4v6","10G"
"Primabananen Pte. Ltd.","133535","65017","Open","ipv4v6","1G"
"PT Aplikanusa Lintasarta","4800","","Open","","1G"
"PT BIT Teknologi Nusantara","136838","65004","Open","","10G"
"PT Digital Satellite Indonesia (DIGISAT)","24538","","Open","","1G"
"PT Link Net Tbk (Linknet)","7632","","Open","ipv4","10G"
"PT Mora Telematika Indonesia (Moratelindo)","23947","","Open","","10G"
"PT NAP Info Lintas Nusa (Matrix Networks)","55818","","Open","","10G"
"Reliance Jio Infocomm Pte Ltd","64049","","Open","","20G"
"Reliance Jio Infocomm Pte Ltd (2)","64049","","Open","","20G"
"Rise Asia Technology Limited","63927","","Open","","1G"
"SG.GS","24482","","Open","","10G"
"SGIX","132696","65002","Open","","1G"
"SimplerCloud","132816","65003","Open","ipv4v6","1G"
"SINET CAMBODIA","59318","","Open","ipv4v6","10G"
"SingAREN","23855","","Open","ipv4","1G"
"SingNet","3758","","Selective","","1G"
"SkyCable Corporation","23944","","Open","ipv4v6","10G"
"StackPath (Highwinds)","33438","","Open","ipv4v6","20G"
"Starry Network Limited","134835","","Open","ipv4v6","1G"
"Summit Communications Limited","58717","","Open","ipv4v6","10G"
"SuperInternet ACCESS Pte Ltd","4844","","Open","","10G"
"Swisscom","3303","","Selective","","1G"
"Tata Communications International Pte Ltd","6421","","Open","ipv4","1G"
"Telegram Messenger LLP","62014","","Open","ipv4","20G"
"Telekom Malaysia (S) Pte Ltd","4788","","Selective","","10G"
"Telekomunikasi Indonesia International Pte Ltd (Telin)","7713","","Open","","100G"
"Telekomunikasi Indonesia International Pte Ltd (Telin) (2)","7713","","Open","","10G"
"Telekomunikasi Indonesia International Pte Ltd (Telin) (3)","56308","","Open","","10G"
"Teleneut Datacenters Limited","136945","65016","Open","","1G"
"TIME DotCom Bhd","9930","","Open","","10G"
"True Internet Corporation Co. Ltd","38082","","Open","","10G"
"Usonyx","38532","","Selective","","1G"
"Valve Corporation","32590","","Open","","20G"
"Valve Corporation (2)","32590","","Open","ipv4v6","20G"
"Verisign Inc","26415","","Open","ipv4v6","10G"
"ViewQwest Pte Ltd","18106","","Selective","","10G"
"Virtela Technology Services Incorporated","19807","","Open","","1G"
"VTelecoms Bhd","132837","65007","Open","","1G"
"Wizlearn Technologies Pte Ltd","58718","","Open","ipv4v6","1G"
"WoodyNet","42","","Open","","10G"
"Yahoo!","10310","","Open","","20G"
"Yahoo! (2)","10310","","Open","","20G"
"Youzu (Singapore) Pte Ltd","135365","65015","Open","ipv4","1G"
