VIX Participant;AS Number;NOC Mailbox;Peering Contact;Website;AS Set;Ports at UniVie;Ports at Interxion;IPv4 Route Server;IPv4 Open Peering Policy;IPv6 Route Server;IPv6 Open Peering Policy
A1 Telekom Austria AG;8447;noc@aon.at;peering@aon.at;http://www.a1.net/;;;;enabled;no;enabled;no;
ACOnet;1853;noc@aco.net;admin@aco.net;http://www.ACO.net/;AS-ACONET;;;enabled;yes;enabled;yes;
Akamai International B.V.;20940;noc@akamai.com;peering@akamai.com;http://www.akamai.com;AS-AKAMAI;;1;enabled;yes;enabled;yes;
Akamai International BV 2;32787;noc@akamai.com;peering@akamai.com;http://www.akamai.com;AS-PROLE;;;disabled;no;disabled;no;
Akton d.o.o.;25467;noc@akton.net;noc@akton.net;http://www.akton.net;;;;enabled;yes;enabled;yes;
Amazon.com;16509;amzon-noc-contact@amazon.com;peering@amazon.com;http://www.aws.amazon.com; AS-AMAZON;;;disabled;no;disabled;no;
ANEXIA Internetdienstleistungs GmbH;47147;noc@anexia.at;vix-peerings@anexia.at;http://www.anexia.at;AS-ANX;;;enabled;yes;enabled;yes;
APA;5403;noc@apa.at;noc@apa.at;http://www.APA.at/;;;;enabled;yes;enabled;yes;
AS33891 Netzbetrieb GmbH;33891;noc@as33891.net;peering@as33891.net;http://www.as33891.com;AS-CORE-BACKBONE;;;enabled;no;enabled;no;
ASFINAG;39478;ipc@asfinag.at;ipc@asfinag.at;http://www.asfinag.at/;;;;enabled;no;disabled;no;
AtNOC Clemens Zauner e. U.;35339;noc@atnoc.net;noc@atnoc.net;www.atnoc.net;AS-ATNOC;;;enabled;yes;enabled;yes;
AT&T;2686;noc@intl.att.com;peering@intl.att.com;http://www.attglobal.net;AS-IGNEMEA;;;enabled;yes;enabled;yes;
Aut O Mattic Ltd;2635;noc@automattic.com;peering@automattic.com;http://www.automattic.com;AS-AUTOMATTIC;;;enabled;yes;enabled;yes;
Autonomica (I-Root);8674;noc@netnod.se;peering@netnod.se;http://www.autonomica.se;AS-NETNOD-ANYCAST;;;enabled;yes;enabled;yes;
AZISTA GmbH;20751;noc@azista.net;peering@azista.net;http://www.azista.at;;;;enabled;yes;disabled;no;
BENESTRA, s. r. o.;5578;noc@benestra.sk;vix@benestra.sk;http://www.benestra.sk;AS-GTSSK;;;enabled;yes;enabled;yes;
BIOS;12971;noc@biosnet.at;;http://www.biosnet.at/;;;;enabled;yes;disabled;no;
Broadband Hosting B.V.;20562;support@openpeering.nl;peering@openpeering.nl;http://www.as20562.peeringdb.com;;;1;enabled;yes;enabled;yes;
BT Global Services ;5400;ipp@bt.com;peering@bt.com;http://www.bt.net;AS-BT-EU;;1;disabled;no;disabled;no;
Cablevision;60517;noc@cablevision.at;peering@cablevision.at;http://www.cablevision.at;AS-CABLEVISION;;;enabled;yes;enabled;yes;
Citycom Telekommunikation GmbH;29056;noc@grazkom.at;noc@grazkom.at;http://www.citycom.co.at;;;;enabled;yes;enabled;yes;
CloudFlare, Inc;13335;noc@cloudflare.com;peering@cloudflare.com;http://www.cloudflare.com;AS13335;;;enabled;yes;disabled;yes;
CNet;13064;info@cnet.at;info@cnet.at;http://www.cnet.at;AS-CNET;;;enabled;yes;enabled;yes;
Colt;8220;ipnmc@colt.net;peering@colt.net;http://www.colt.net/;;;;enabled;yes;enabled;yes;
COSYS DATA Gmbh;50782;noc@cosys.cc;office@cosys.cc;http://www.cosys.cc;AS-COSYS;;;enabled;yes;disabled;no;
CZ.NIC, z.s.p.o;200070;noc@nic.cz;peering@nic.cz;http://www.nic.cz;;1;;enabled;yes;enabled;yes;
DENIC eG;31529;network@denic.de;peering@denic.de;http://www.denic.de/en/;;;;enabled;yes;enabled;yes;
Deutsche Telekom AG;5588;smc@t-mobile.cz;peering@gtsce.net ;http://www.gtsce.com;AS-GTS-CE;;;enabled;yes;enabled;yes;
Dial Telecom ;29208;noc@dialtelecom.cz;peering@dialtelecom.cz;http://www.dialtelecom.cz;AS-DIALTELECOM;;;enabled;yes;enabled;yes;
DTag (T-Systems);3320;noc@telekom.de;peering@usa.telekom.de;http://www.dtag.de/;;;;disabled;no;disabled;no;
DXC Technology;28857;noc@csc.at;peering@csc.at;http://www.dxc.technology.de;;;;disabled;no;disabled;no;
Edge Network Services Limited;32934;noc@fb.com;peering@fb.com;http://www.facebook.com;AS32934;;;enabled;no;disabled;no;
EDIS GmbH;57169;noc@edis.at;peering@edis.at;https://www.edis.at;AS-EDIS;;;enabled;yes;enabled;yes;
Empirion Telekommunikations Services GmbH;21360;office@empirion.at;office@empirion.at;http://www.empirion.at;;;;enabled;yes;enabled;yes;
Energie AG Oberösterreich Telekom GmbH;49808;data.isp@energieag.at;data.isp@energieag.at;www.energieagdata.at;AS-POWERSPEED;;;enabled;yes;enabled;yes;
ennit server GmbH;13101;noc@tng.de;peering@tng.de;http://www.ennit.de;;;;enabled;yes;enabled;yes;
Ertl & Groß GmbH & Co OG;62363;noc@egw-telekom.at;m.gross@egw-telekom.at;http://www.egw-telekom.net;;;;enabled;yes;enabled;yes;
euNetworks Managed Services GmbH;13237;noc@eunetworks.com;peering@eunetworks.com;http://www.eunetworks.com;;;;enabled;yes;enabled;yes;
European Academy Bolzano;50507;noc@eurac.edu;noc@eurac.edu;http://www.eurac.edu;AS-EURACTOVIX;;;enabled;yes;enabled;yes;
EWW AG;3330;noc@wien.itandtel.at;noc@wien.itandtel.at;http://www.itandtel.at/;AS-PROFINET;;;enabled;yes;enabled;yes;
Funknetz;20704;hostmaster@funknetz.at;;http://www.funknetz.at;;;;enabled;yes;enabled;yes;
Gamsjaeger Kabel-TV & ISP Betriebs GmbH;43848;support@mvnet.at;support@mvnet.at;http://www.mvnet.at;;;;enabled;yes;disabled;no;
GEANT Limited;21320;noc@geant.org;peering@geant.org;http://www.geant.org;;;;enabled;no;enabled;no;
Hetzner Online AG;24940;noc@hetzner.de;peering@hetzner.de;http://www.hetzner.de/;AS-HETZNER;;;enabled;yes;enabled;yes;
hotze.com;8596;noc@hotze.com;peering@hotze.com;http://www.hotze.com;;;;enabled;yes;enabled;yes;
Hurricane Electric;6939;noc@he.net;peering@he.net;http://he.net;AS-HURRICANE;;;disabled;no;disabled;no;
Hutchison 3G Austria;25255;noc@drei.com;noc@drei.com;http://www.drei.at;;;;enabled;yes;enabled;yes;
I3B GmbH;39912;noc@i3b.at;peering@i3b.at;http://www.essgroup.at;;;;enabled;yes;enabled;yes;
IKB;31510;support@ikb.at;noc@ikbnet.at;http://www.ikb.at;;;;enabled;yes;enabled;yes;
Imperva;19551;noc@incapsula.com;peering@incapsula.com;http://www.incapsula.com;;;1;enabled;no;enabled;no;
Infotech EDV-Systeme GmbH;28760;noc@infotech.at;iol@infotech.at;;;;;enabled;yes;enabled;yes;
Init7;13030;noc@init7.net;peering@init7.net;http://www.init7.net;;;;disabled;no;disabled;no;
Installation Computer Service Ing. Christian Singerl;62373;ics@singerl.at;peering@singerl.at;http://www.singerl.at;ics@singerl.at;;;enabled;yes;enabled;yes;
Internic.at;12401;noc@internic.at;noc@internic.at;http://www.internic.at/;;;;enabled;yes;enabled;yes;
Interoute;8928;shiftleader@interoute.com;peering@interoute.net;http://www.interoute.com/;;;;disabled;no;disabled;no;
iPlace Internet & Network Services GmbH;29545;noc@iplace.at;noc@iplace.at;http://www.iplace.at;AS-IPLACE;;;enabled;yes;enabled;yes;
